ARK: Survival Evolved," 27 Aug, 2017",411976,"Open World Survival Craft, Survival, Open World, Multiplayer, Dinosaurs, Crafting, Building, Adventure, Base Building, Co-op, Action, First-Person, Sandbox, Massively Multiplayer, Singleplayer, Early Access, RPG, Dragons, Sci-fi, Indie"
DayZ, 2018 年 12 月 13 日,249818,"生存, 僵尸, 多人, 开放世界, 动作, 玩家对战, 射击, 大型多人在线, 恐怖, 模拟, 后末日, 抢先体验, 第一人称射击, 第一人称, 生存恐怖, 沙盒, 冒险, 合作, 氛围, 独立"
Rust," 8 Feb, 2018",622071,"Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, Sandbox, PvP, Adventure, First-Person, Action, FPS, Nudity, Co-op, Shooter, Online Co-Op, Indie, Early Access, Post-apocalyptic, Simulation"
No Man's Sky," 12 Aug, 2016",177655,"Open World, Open World Survival Craft, Space, Exploration, Sci-fi, Survival, Procedural Generation, Adventure, First-Person, Sandbox, Singleplayer, Multiplayer, Atmospheric, Crafting, Space Sim, Indie, Action, Simulation, FPS, Great Soundtrack"
PUBG: BATTLEGROUNDS," 21 Dec, 2017",2003573,"Survival, Shooter, Multiplayer, Battle Royale, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth"
Project Zomboid," 8 Nov, 2013",70085,"Survival, Zombies, Open World, Open World Survival Craft, Multiplayer, Sandbox, Post-apocalyptic, Crafting, Co-op, Indie, Simulation, RPG, Building, Survival Horror, Realistic, Isometric, Singleplayer, Early Access, 2D, Adventure"
NARAKA: BLADEPOINT," 11 Aug, 2021",87547,"Battle Royale, Sexual Content, Multiplayer, Martial Arts, Survival, PvP, Hack and Slash, Third Person, Parkour, Action, Massively Multiplayer, Nudity, Violent, Swordplay, Gore, Character Customization, Fighting, Female Protagonist, Adventure, Anime"
Hunt: Showdown," 27 Aug, 2019",97600,"Hunting, Dark, Tactical, FPS, Horror, Multiplayer, Western, Survival, Perma Death, PvP, Open World, Shooter, Zombies, Atmospheric, Battle Royale, Violent, Team-Based, Online Co-Op, First-Person, Action"
Valheim: 英灵神殿, 2021 年 2 月 2 日,294104,"开放世界生存制作, 生存, 在线合作, 开放世界, 多人, 建造, 制作, 探索, 合作, 基地建设, 沙盒, 冒险, 神话, 角色扮演, 航海, 抢先体验, 动作, 独立, 玩家对战, 钓鱼"
Raft," 23 May, 2018",142418,"Survival, Open World Survival Craft, Multiplayer, Co-op, Crafting, Open World, Building, Base Building, Online Co-Op, Adventure, Sandbox, Early Access, First-Person, Singleplayer, Underwater, Simulation, Action, Indie, Strategy, Massively Multiplayer"
